epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2893,1.08591,0.68537,0.40001,0.81839,0.66336,0.69506,0.33825,0.99322,0.42398,0.47444,0.000662921,0.000662921,0.000662921
2,198.473,0.77413,0.4868,0.23477,0.80312,0.68023,0.70823,0.37923,0.83833,0.52365,0.40164,0.00124184,0.00124184,0.00124184
3,314.537,0.65717,0.47648,0.19706,0.8379,0.71263,0.7137,0.39436,0.77454,0.50435,0.35213,0.00173275,0.00173275,0.00173275
4,430.155,0.63442,0.44872,0.19503,0.88296,0.68655,0.74687,0.48031,0.93396,0.40245,0.43165,0.001604,0.001604,0.001604
5,534.639,0.61092,0.4344,0.17475,0.88202,0.71318,0.76169,0.40312,0.8155,0.45563,0.36062,0.001472,0.001472,0.001472
6,646.301,0.56794,0.47584,0.17075,0.8255,0.6419,0.69058,0.39493,0.77638,0.53149,0.34189,0.00134,0.00134,0.00134
7,759.259,0.53964,0.44733,0.1548,0.90546,0.6891,0.76132,0.40112,0.76765,0.46835,0.2686,0.001208,0.001208,0.001208
8,862.108,0.52069,0.4473,0.14324,0.91632,0.74131,0.80891,0.52504,0.63441,0.51068,0.24088,0.001076,0.001076,0.001076
9,975.574,0.45725,0.44684,0.12632,0.89824,0.74817,0.80386,0.51324,0.65714,0.512,0.24526,0.000944,0.000944,0.000944
10,1092.57,0.45506,0.4655,0.12808,0.92014,0.74353,0.80751,0.5335,0.63081,0.50004,0.22512,0.000812,0.000812,0.000812
11,1211.73,0.44238,0.41888,0.11006,0.93191,0.73819,0.80498,0.53195,nan,nan,nan,0.00068,0.00068,0.00068
12,1305.43,0.4413,0.41547,0.10585,0.91559,0.76871,0.82267,0.55743,0.63184,0.48501,0.23118,0.000548,0.000548,0.000548
13,1388.01,0.39457,0.40938,0.09859,0.93364,0.75533,0.82825,0.55665,0.5961,0.49151,0.22273,0.000416,0.000416,0.000416
14,1456.23,0.41075,0.41219,0.10062,0.92676,0.75609,0.8198,0.52803,0.64578,0.4797,0.23828,0.000284,0.000284,0.000284
15,1517.96,0.39338,0.40698,0.09956,0.93126,0.77073,0.83348,0.57261,0.60886,0.47669,0.22717,0.000152,0.000152,0.000152
